ProbeID,PrimaryAccession,RefSeqAccession,GenbankAccession,UniGeneID,EntrezGeneID,GeneSymbol,GeneName,EnsemblID,TIGRID,GO,Description,GenomicCoordinates,Cytoband
A_01_P015811,ENSMMUT00000094935.1,XM_028842585,JU470844,Mmu.31017,705657,PIGC,phosphatidylinositol glycan anchor biosynthesis class C,ENSMMUT00000094935.1,,,phosphatidylinositol glycan anchor biosynthesis class C [Source:VGNC Symbol;Acc:VGNC:75986] [ENSMMUT00000094935.1],chr1:202132523-202132464,
A_01_P008642,NM_001266690,NM_001266690,NM_001266690,Mmu.34320,697826,ACVR1C,activin A receptor type 1C,ENSMMUT00000005251.3,,,"Macaca mulatta activin A receptor type 1C (ACVR1C), mRNA [NM_001266690]",chr12:21127961-21127902,
A_01_P006224,NM_001260619,NM_001260619,NM_001260619,Mmu.32225,695620,DLX1,distal-less homeobox 1,ENSMMUT00000082845.1,,,"Macaca mulatta distal-less homeobox 1 (DLX1), mRNA [NM_001260619]",chr12:35747818-35747877,
A_01_P018061,JV665480,XM_015120875,JV665480,Mmu.33937,,,,,,,TSA: Macaca mulatta Mamu_487285 mRNA sequence. [JV665480],chr17:15055969-15055910,
A_01_P005883,ENSMMUT00000109823.1,XM_028841009,JV513124,Mmu.20298,710713,ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,ENSMMUT00000109823.1,,,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:VGNC Symbol;Acc:VGNC:99483] [ENSMMUT00000109823.1],chr20:5260440-5260499,
A_01_P015484,XM_015135101,XM_015135101,XM_015135101,,106997700,LOC106997700,olfactory receptor 9A2,,,,"PREDICTED: Macaca mulatta olfactory receptor 9A2 (LOC106997700), mRNA [XM_015135101]",chr3:180661099-180661040,
A_01_P016357,NM_001260806,NM_001260806,NM_001260806,Mmu.22885,694355,TMOD2,tropomodulin 2,ENSMMUT00000024516.4,,,"Macaca mulatta tropomodulin 2 (TMOD2), mRNA [NM_001260806]",chr7:30107766-30107825,
A_01_P002928,ENSMMUT00000101678.1,XM_015131636,JV723854,Mmu.21637,696744,PHC3,polyhomeotic homolog 3,ENSMMUT00000101678.1,,,polyhomeotic homolog 3 [Source:VGNC Symbol;Acc:VGNC:75804] [ENSMMUT00000101678.1],chr2:116911637-116911696,
A_01_P006194,ENSMMUT00000028253.4,XM_028845653,XM_028845653,,,,,ENSMMUT00000028253.4,,,serine/threonine/tyrosine interacting like 1 [Source:VGNC Symbol;Acc:VGNC:78158] [ENSMMUT00000028253.4],chr3:50278005-50278064,
A_01_P007870,JV603590,XM_028835313,JV603590,Mmu.29613,,,,,,,TSA: Macaca mulatta Mamu_184947 mRNA sequence. [JV603590],chr15:97868466-97868407,
